甘肃移动,#genre#
黑龙江卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8?
黑龙江卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
西藏卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8?
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=f35a89681647856030
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=63cf437e1591689484
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
广东文化频道,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1617289309-0-0-7b2730980c8860963374597c20ad3935
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
央视5,#genre#
CCTV1,rtp://235.254.199.51:7980
CCTV1,rtp://235.254.199.147:7980
CCTV2,rtp://235.254.199.52:7980
CCTV3,rtp://235.254.199.53:7980
CCTV4,rtp://235.254.199.183:7980
CCTV5,rtp://235.254.199.54:7980
CCTV5+,rtp://235.254.199.121:7980
CCTV6,rtp://235.254.199.55:7980
CCTV7,rtp://235.254.199.56:7980
CCTV8,rtp://235.254.199.57:7980
CCTV9,rtp://235.254.199.58:7980
CCTV10,rtp://235.254.199.59:7980
CCTV11,rtp://235.254.196.161:7980
CCTV12,rtp://235.254.199.60:7980
CCTV13,rtp://235.254.196.162:7980
CCTV14,rtp://235.254.199.61:7980
CCTV15,rtp://235.254.196.163:7980
CCTV16,http://hwrr.jx.chinamobile.com:8 ... 21226233/index.m3u8
CCTV17,rtp://235.254.199.130:7980
CCTV4k,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?zzhongd
卫视5,#genre#
湖南卫视,rtp://235.254.199.62:7980
江苏卫视,rtp://235.254.199.64:7980
浙江卫视,rtp://235.254.199.63:7980
东方卫视,rtp://235.254.199.73:7980
北京卫视,rtp://235.254.199.66:7980
广东卫视,rtp://235.254.197.186:7980
深圳卫视,rtp://235.254.199.71:7980
天津卫视,rtp://235.254.199.67:7980
安徽卫视,rtp://235.254.199.65:7980
山东卫视,rtp://235.254.199.69:7980
四川卫视,rtp://235.254.199.175:7980
重庆卫视,rtp://235.254.197.237:7980
湖北卫视,rtp://235.254.199.72:7980
辽宁卫视,rtp://235.254.199.68:7980
江西卫视,rtp://235.254.199.190:7980
贵州卫视,rtp://235.254.199.185:7980
河北卫视,rtp://235.254.199.184:7980
黑龙江卫视,rtp://235.254.199.70:7980
海南卫视,rtp://235.254.199.176:7980
东南卫视,rtp://235.254.199.129:7980
河南卫视,rtp://235.254.199.26:7980
吉林卫视,rtp://235.254.199.39:7980
山西卫视,rtp://235.254.199.41:7980
青海卫视,rtp://235.254.199.43:7980
云南卫视,rtp://235.254.199.25:7980
宁夏卫视,rtp://235.254.199.45:7980
新疆卫视,rtp://235.254.199.47:7980
内蒙古卫视,rtp://235.254.199.42:7980
广西卫视,rtp://235.254.199.38:7980
兵团卫视,rtp://235.254.197.171:7980
山东教育,rtp://235.254.199.153:7980
甘肃卫视,rtp://235.254.199.48:7980
西藏卫视,rtp://235.254.199.46:7980
陕西卫视,rtp://235.254.199.40:7980
